usd_cleaning_fee,f_room_type,f_property_type,f_room_type2,f_property_type2,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,usd_price_day,p_host_response_rate,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,n_accommodates2,f_bathroom,f_number_of_reviews,n_days_since2,n_days_since3,f_minimum_nights,price,neighbourhood_cleansed,cancellation_policy,room_type,property_type,d_elevator,d_familykidfriendly,d_freeparkingonpremises,d_gym,d_hottub,d_petsallowed,d_pool,d_privatebathroom,d_privateentrance,d_selfcheckin,d_smokingallowed,d_tv,d_wheelchairaccessible,d_24hourcheckin,d_airconditioning,d_bathtub,d_breakfast,d_cleaningbeforecheckout,d_coffeemaker,d_dishwasher,city
16,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Windmill Hill,50,100,2,1,92,241,2,4.3,5,2,2,1682,4,1,2,2829124,4758586568,2,50,Windmill Hill,strict,Entire home/apt,Apartment,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,Bristol
0,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,St George West,55,NA,3,1,90,8,1,0.15,0,1,1,1649,9,1,1,2719201,4483962449,1,55,St George West,moderate,Entire home/apt,Apartment,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Bristol
0,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Clifton,64,NA,2,1,90,2,1,0.04,0,14,1,1567,4,1,1,2455489,3847751263,3,64,Clifton,moderate,Entire home/apt,Apartment,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bristol
55,Entire home/apt,Condominium,Entire/Apt,Loft,strict,Real Bed,Bedminster,109,100,4,2,95,109,1,1.99,0,2,2,1640,16,2,2,2689600,4410944000,2,109,Bedminster,strict,Entire home/apt,Condominium,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,Bristol
10,Private room,Apartment,Private,Apartment,flexible,Real Bed,Redland,42,100,1,1,93,9,1,0.16,0,45,1,1643,1,1,1,2699449,4435194707,3,42,Redland,flexible,Private room,Apartment,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Bristol
35,Entire home/apt,Loft,Entire/Apt,Loft,moderate,Real Bed,Brislington West,70,100,3,1.5,97,95,2,1.74,40,1,1,1637,9,1,2,2679769,4386781853,1,70,Brislington West,moderate,Entire home/apt,Loft,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,Bristol
5,Private room,Apartment,Private,Apartment,moderate,Real Bed,Clifton,40,NA,1,1,98,11,1,0.2,0,1,1,1635,1,1,1,2673225,4370722875,1,40,Clifton,moderate,Private room,Apartment,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Bristol
35,Private room,Apartment,Private,Apartment,flexible,Real Bed,Ashley,29,100,2,1,88,30,2,0.55,0,2,1,1640,4,1,1,2689600,4410944000,2,29,Ashley,flexible,Private room,Apartment,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Bristol
38,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Lawrence Hill,120,100,4,1,96,204,4,3.76,60,1,2,1628,16,1,2,2650384,4314825152,1,120,Lawrence Hill,strict,Entire home/apt,Apartment,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,Bristol
10,Private room,Apartment,Private,Apartment,moderate,Real Bed,Clifton Down,35,100,2,1,96,57,1,1.12,10,2,1,1529,4,1,2,2337841,3574558889,2,35,Clifton Down,moderate,Private room,Apartment,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bristol
20,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Clifton,85,100,4,1,95,124,1,2.28,0,16,2,1628,16,1,2,2650384,4314825152,3,85,Clifton,strict,Entire home/apt,Apartment,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,Bristol
10,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Hotwells & Harbourside,65,100,4,2,96,45,2,1.42,7,2,3,948,16,2,1,898704,851971392,2,65,Hotwells & Harbourside,moderate,Entire home/apt,Apartment,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,Bristol
0,Entire home/apt,Apartment,Entire/Apt,Apartment,flexible,Real Bed,Ashley,109,100,5,1,85,64,1,1.24,0,1,2,1542,25,1,2,2377764,3666512088,1,109,Ashley,flexible,Entire home/apt,Apartment,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Bristol
25,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Clifton,76,NA,6,1,90,21,4,0.39,25,2,2,1614,36,1,1,2604996,4204463544,2,76,Clifton,strict,Entire home/apt,Apartment,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bristol
0,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Clifton Down,83,100,2,1,99,287,2,5.32,15,2,1,1616,4,1,2,2611456,4220112896,2,83,Clifton Down,moderate,Entire home/apt,Apartment,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,Bristol
30,Entire home/apt,Apartment,Entire/Apt,Apartment,flexible,Real Bed,Ashley,70,100,4,1,94,133,2,2.57,20,2,2,1550,16,1,2,2402500,3723875000,2,70,Ashley,flexible,Entire home/apt,Apartment,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,Bristol
