usd_cleaning_fee,f_room_type,f_property_type,f_room_type2,f_property_type2,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,usd_price_day,p_host_response_rate,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,n_accommodates2,f_bathroom,f_number_of_reviews,n_days_since2,n_days_since3,f_minimum_nights,price,neighbourhood_cleansed,cancellation_policy,room_type,property_type,d_elevator,d_familykidfriendly,d_freeparkingonpremises,d_gym,d_hottub,d_petsallowed,d_pool,d_privatebathroom,d_privateentrance,d_selfcheckin,d_smokingallowed,d_tv,d_wheelchairaccessible,d_24hourcheckin,d_airconditioning,d_bathtub,d_breakfast,d_cleaningbeforecheckout,d_coffeemaker,d_dishwasher,city
30,Entire home/apt,Apartment,Entire/Apt,Apartment,flexible,Real Bed,Salford District,95,96,2,1,93,3,2,1.7,10,1,1,52,4,1,1,2704,140608,1,95,Salford District,flexible,Entire home/apt,Apartment,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Manchester
30,Entire home/apt,Apartment,Entire/Apt,Apartment,flexible,Real Bed,Salford District,95,96,2,1,92.84275321768327,0,2,NA,10,1,1,NA,4,1,0,NA,NA,1,95,Salford District,flexible,Entire home/apt,Apartment,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Manchester
8,Private room,Condominium,Private,Loft,strict,Real Bed,Ancoats and Clayton,32,100,2,2,100,3,1,2.2,0,1,1,40,4,2,1,1600,64000,1,32,Ancoats and Clayton,strict,Private room,Condominium,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,Manchester
5,Private room,Apartment,Private,Apartment,flexible,Real Bed,Salford District,45,100,2,1,100,4,1,2.55,0,1,1,46,4,1,1,2116,97336,1,45,Salford District,flexible,Private room,Apartment,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Manchester
5,Private room,Condominium,Private,Loft,strict,Real Bed,Hulme,17,100,2,1,85,27,2,13.73,0,1,2,58,4,1,1,3364,195112,1,17,Hulme,strict,Private room,Condominium,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manchester
20,Entire home/apt,Condominium,Entire/Apt,Loft,strict,Real Bed,Hulme,75,100,4,1,87,6,1,6,0,2,2,27,16,1,1,729,19683,2,75,Hulme,strict,Entire home/apt,Condominium,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,Manchester
5,Private room,Apartment,Private,Apartment,moderate,Real Bed,Rusholme,39,100,2,1,87,3,2,1.55,30,1,1,57,4,1,1,3249,185193,1,39,Rusholme,moderate,Private room,Apartment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Manchester
0,Private room,Condominium,Private,Loft,flexible,Real Bed,Hulme,15,100,2,1.5,92.84275321768327,0,1,NA,0,30,2,NA,4,1,0,NA,NA,3,15,Hulme,flexible,Private room,Condominium,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manchester
40,Entire home/apt,Condominium,Entire/Apt,Loft,strict,Real Bed,Old Moat,67,93,6,1,100,1,1,1,0,5,2,26,36,1,1,676,17576,3,67,Old Moat,strict,Entire home/apt,Condominium,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,Manchester
40,Entire home/apt,Condominium,Entire/Apt,Loft,strict,Real Bed,Didsbury East,110,93,6,1,100,1,1,1,0,6,3,20,36,1,1,400,8000,3,110,Didsbury East,strict,Entire home/apt,Condominium,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,Manchester
